model_id,seed,dataset,window,scope,n,rmse,mae,bias,ubrmse,r2,pearson,target_std,prediction_std,diff_pearson
Clustering_Dynamic_k2_no_smap_fs60,7,ece_spatial,spatial_ece_v3_full,ECE_BBG_Lost_Meadow,30,0.038038088426283256,0.0329388357833716,0.032263495448267406,0.02014852432773608,-23.828946699358443,-0.225261380699477,0.0076337781694800315,0.017005934537231687,0.01987303053703235
Clustering_Dynamic_k2_no_smap_fs60,7,ece_spatial,spatial_ece_v3_full,ECE_BBG_Main_St,30,0.036694586502486325,0.03406606969906644,0.03406606969906644,0.013638019425371078,-41.910662589074484,0.3198106400601503,0.005601694085779239,0.014354363314193585,0.18097304298602357
Clustering_Dynamic_k2_no_smap_fs60,7,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_North,30,0.07487726779667907,0.0683286128507463,-0.0683286128507463,0.030623616680405644,-7.352201803589635,-0.12790579683135084,0.02590893130174641,0.013344882782365,0.04074130440517765
Clustering_Dynamic_k2_no_smap_fs60,7,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_Shed,30,0.016613622413197266,0.014594622878423924,0.010580873639561169,0.012808495724007959,-12.51473112902829,0.2605821621156708,0.004519190312972529,0.013220098175686628,0.17653020010044806
Clustering_Dynamic_k2_no_smap_fs60,7,ece_spatial,spatial_ece_v3_full,ECE_Renton_Home,30,0.07456507692089588,0.07348475351536382,0.07348475351536382,0.012646805802468238,-893.8970416799655,-0.04642676506460114,0.002492579012857567,0.01228355737865812,0.0975294978465506
Clustering_Dynamic_k2_no_smap_fs60,7,wa_temporal,temporal_full,__pooled__,6620,0.05201901889671696,0.040123759662123594,0.011446386050628718,0.05074404963497659,0.7392330117236231,0.8677672583465585,0.10186754770708609,0.09186833660082025,0.33049260540642744
Clustering_Dynamic_k2_no_smap_fs60,7,wa_temporal,temporal_full,BeaverPass_WA_990,626,0.06637941969869701,0.057928446939292395,0.05637352961520795,0.03504643374523344,0.469225486858056,0.9375331034744638,0.0911125960545272,0.07047091096032118,0.3806823158692059
Clustering_Dynamic_k2_no_smap_fs60,7,wa_temporal,temporal_full,CayusePass_WA,1081,0.056533730031561535,0.044990857503901575,0.0037027793062934886,0.05641233957823738,0.7759343264650052,0.8944673527688013,0.11943179963127902,0.08864582430455308,0.08053158877504284
Clustering_Dynamic_k2_no_smap_fs60,7,wa_temporal,temporal_full,Darrington,999,0.045343463153312134,0.03572497017856115,0.025031903147458758,0.037807849390728634,0.7644701907853153,0.9219827094856357,0.09343116122790567,0.09711830520123403,0.5620476212800509
Clustering_Dynamic_k2_no_smap_fs60,7,wa_temporal,temporal_full,Paradise_WA,1067,0.0492801046368954,0.03827447171125214,0.02343332855351747,0.04335213750123819,0.7492664439908091,0.8989557359770619,0.09841592784423522,0.08389658688109351,0.08370996079443802
Clustering_Dynamic_k2_no_smap_fs60,7,wa_temporal,temporal_full,Quinault,1044,0.044517164368752436,0.03632157150390506,-0.026332100720355373,0.035894266883272345,0.5885729684082076,0.8580506752601897,0.06940345358458443,0.06378979794299817,0.6418174082881875
Clustering_Dynamic_k2_no_smap_fs60,7,wa_temporal,temporal_full,SourdoughGulch_WA_985,906,0.067704068125963,0.0497685389863471,0.006379515979726814,0.06740283834282833,0.2867172001733258,0.6579390205823504,0.08016483243232275,0.08272067217961561,0.16305345839830912
Clustering_Dynamic_k2_no_smap_fs60,7,wa_temporal,temporal_full,Spokane,897,0.03047715633720658,0.02361520704743321,0.009122832273626239,0.02907973503506892,0.9295869548750124,0.9710426026369207,0.11485446404947203,0.10190014478502694,0.2715917149251167
Clustering_Dynamic_k2_no_smap_fs60,7,wa_temporal,temporal_summer_2025,__pooled__,155,0.029665373882106036,0.023162357297251277,0.006284905529791264,0.028991970785835482,0.6661967631453376,0.8301944308808097,0.051345756207705255,0.03802201991213234,0.49484798784177747
Clustering_Dynamic_k2_no_smap_fs60,7,wa_temporal,temporal_summer_2025,CayusePass_WA,31,0.023336010224488245,0.009797321781035371,-0.0019175628923601194,0.023257091945281194,0.0722526137008398,0.285592500153698,0.024227674856002995,0.008256407120225002,-0.08466110107472938
Clustering_Dynamic_k2_no_smap_fs60,7,wa_temporal,temporal_summer_2025,Darrington,31,0.035116453476391835,0.028307264618335198,0.024249232163352306,0.025399607167187296,-0.22559239359086947,0.6407371209848033,0.03172032440295856,0.02753839417560002,0.305080795826453
Clustering_Dynamic_k2_no_smap_fs60,7,wa_temporal,temporal_summer_2025,Paradise_WA,31,0.015315029211398882,0.011668963359248207,0.011668963359248207,0.00991894217477468,-16.86641289441241,0.37918850828913453,0.0036232570534448965,0.010709046946451027,0.22804938314790094
