config_id,strategy_name,seed,station,n_train_total,n_test,r2,rmse,ubrmse,bias,mae,pearson
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,42,Paradise_WA,12419,1067,0.7785723721844809,0.046310694608724876,0.03940745107234479,0.02432556751903911,0.0364599145974304,0.9170583939273987
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,42,Quinault,12448,1044,0.5606848053650594,0.046001203518200355,0.04587528443521244,0.003401323729262498,0.036895299216168596,0.8746881505768684
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,42,SourdoughGulch_WA_985,12417,906,0.3359296460637553,0.06532673236028508,0.05663432967139057,-0.032559709205466913,0.05263737974070819,0.7308986796681048
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,42,Spokane,12815,897,0.6066802742664119,0.0720312155026229,0.05679980473327932,0.04429760929267675,0.06192039377567096,0.8949239320107829
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,7,BeaverPass_WA_990,12423,626,0.7647745419639327,0.04418965210998679,0.03999309737117031,0.018795678127211883,0.03442477750673461,0.9042576884616225
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,7,CayusePass_WA,12566,1081,0.6871025464676705,0.0668068493696191,0.06574918180610623,0.011840617151253757,0.053696533041734815,0.843071376466834
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,7,Darrington,12560,999,0.6996164404651593,0.05120705814802322,0.04160302175299506,0.02985550845647837,0.04159901472600969,0.9047218033875417
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,7,Paradise_WA,12419,1067,0.7762557065936908,0.04655232487354893,0.03995841389576844,0.023883971823524287,0.036677245242191236,0.9149107980465939
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,7,Quinault,12448,1044,0.5720079944661474,0.045404501341528264,0.04536479643902453,0.0018984167399991058,0.03610390870153219,0.8724479470670428
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,7,SourdoughGulch_WA_985,12417,906,0.3427173652539973,0.06499200996916481,0.05658106141016037,-0.03197725519070825,0.05234089957838816,0.7341553272815692
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,7,Spokane,12815,897,0.6070382324780466,0.07199843042654468,0.056347336157122035,0.04481909963265976,0.061906924332796265,0.89741780684333
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,13,BeaverPass_WA_990,12423,626,0.7587253158714995,0.04475425158820963,0.04009110987032715,0.019890850775824566,0.03522456099688054,0.9028258614703017
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,13,CayusePass_WA,12566,1081,0.6870062948839839,0.06681712393489088,0.06545665207544439,0.013414721391247334,0.05337848572539136,0.8453151970697842
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,13,Darrington,12560,999,0.7037705700762239,0.05085174353339478,0.04328990361625973,0.026681155621170165,0.04132741902820818,0.9006329383864857
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,13,Paradise_WA,12419,1067,0.7797265821089243,0.04618983773534615,0.03956948453401154,0.02382765208177736,0.03592471480514809,0.9161305378468061
