,max_depth,min_child_weight,lambda,subsample,colsample_bytree,val_R2_mean,val_R2_std,val_RMSE_mean,val_bias_mean,best_iter_mean
232,3,50,5,1.0,0.8,0.7784688782369186,1.1102230246251565e-16,0.05056471776188317,0.009025862700262155,83.0
195,3,20,5,1.0,0.6,0.7784580182837962,0.0,0.05056595714470765,0.008263654199267077,77.0
446,5,5,5,0.8,1.0,0.7784010087305551,0.001680729470095966,0.05057209982293585,0.008523937365123987,77.33333333333333
238,3,50,10,0.8,0.8,0.7783297782562993,0.001246195093905046,0.05058038999652534,0.009110754226985882,76.0
356,4,20,30,0.8,1.0,0.7782778866866717,0.001524921555656928,0.05058621137536697,0.009189787363516187,87.0
518,5,50,5,0.8,1.0,0.7782310843840335,0.0020683185925923693,0.05059129813786234,0.008448364323012733,97.66666666666667
563,5,100,10,0.8,1.0,0.778228387952082,0.002277095926598237,0.050591491824284,0.008402336561355698,79.33333333333333
503,5,20,30,1.0,1.0,0.7782234228384994,0.0,0.050592722736558626,0.008233567321213933,84.0
404,4,100,1,1.0,1.0,0.7781979246438663,1.1102230246251565e-16,0.0505956310374052,0.00791497166645429,71.0
434,5,5,1,0.6,1.0,0.7781771063515736,0.0016765608958622905,0.05059764323340202,0.008615183654382639,75.0
464,5,5,30,0.8,1.0,0.7781712392274914,0.0009814924989635298,0.05059855056256598,0.00833358342470878,80.66666666666667
196,3,20,5,1.0,0.8,0.778124852672239,1.1102230246251565e-16,0.05060396463405573,0.009176659301771594,78.0
160,3,5,5,1.0,0.8,0.7781091134223278,1.1102230246251565e-16,0.05060575945950397,0.009182269817965867,78.0
527,5,50,10,0.8,1.0,0.7780694361182278,0.0018400377540262706,0.050609849197589846,0.008462442417223522,81.66666666666667
473,5,20,1,0.8,1.0,0.7779248416980651,0.002404421927435182,0.050626023929025425,0.00850637000944598,78.0
200,3,20,10,0.6,1.0,0.7779030035257964,0.003377116992513691,0.050627789884618114,0.009312383961037793,155.66666666666666
286,3,100,30,1.0,0.8,0.7778932973957645,0.0,0.05063036362363835,0.00867670795028513,98.0
482,5,20,5,0.8,1.0,0.7777984435756946,0.0015768433918530624,0.05064085411951377,0.008247368681721145,73.0
386,4,50,10,1.0,1.0,0.7777667031567446,0.0,0.050644790471705635,0.008529835855750095,80.0
572,5,100,30,0.8,1.0,0.7777366039341737,0.0020122709236601696,0.05064770140360813,0.00837087259862677,77.0
245,3,50,30,0.6,1.0,0.7777178734949525,0.003870865972902725,0.05064842526291433,0.009822242987696706,150.0
500,5,20,30,0.8,1.0,0.7777156573274744,0.002782185750958424,0.050649614055570384,0.009421185282164679,131.0
536,5,50,30,0.8,1.0,0.7777038735343617,0.0015143360492487184,0.05065165578623548,0.008778598782712088,100.33333333333333
218,3,50,1,0.6,1.0,0.7775294011737585,0.0028086432839053137,0.05067081285280048,0.009734238756000184,152.66666666666666
296,4,5,1,1.0,1.0,0.7772403681245281,0.0,0.05070472830154854,0.009441248587398251,73.0
437,5,5,1,0.8,1.0,0.7771760885115357,0.0018441554004247718,0.050711610489225546,0.008601186726519222,72.33333333333333
164,3,5,10,0.6,1.0,0.7771361541083738,0.002666027471510502,0.05071567940069499,0.009509590170604534,159.33333333333334
155,3,5,5,0.6,1.0,0.7770838754815584,0.002047337135999271,0.050722001616102186,0.009603812972119178,159.66666666666666
314,4,5,10,1.0,1.0,0.7769998895976955,0.0,0.05073208987782343,0.008379404804363251,71.0
182,3,20,1,0.6,1.0,0.7768695071245987,0.0037406093430731803,0.05074512797710604,0.009616610811327494,174.0
244,3,50,30,0.6,0.8,0.7768197832535203,0.0027153685831779392,0.05075163424060633,0.009253200626545856,79.0
283,3,100,30,0.8,0.8,0.7768131946675082,0.0014186260047312016,0.05075306599222307,0.00915232667894903,78.0
539,5,50,30,1.0,1.0,0.7767866607183814,0.0,0.050756338659579237,0.008473077648669097,87.0
455,5,5,10,0.8,1.0,0.776680845300772,0.0010248500183909436,0.0507682344327039,0.008779707089551114,90.0
132,2,100,10,1.0,0.6,0.7765883004604465,1.1102230246251565e-16,0.0507788861576221,0.009762357998957881,610.0
60,2,20,10,1.0,0.6,0.7762617873181247,0.0,0.050815978933623975,0.009533753968198387,495.0
80,2,50,1,1.0,1.0,0.7760788514689977,0.0,0.05083674911125071,0.011495250125258762,642.0
440,5,5,1,1.0,1.0,0.7758759884322389,1.1102230246251565e-16,0.050859771864275954,0.007848377620106118,57.0
39,2,20,1,0.8,0.6,0.7757186258211687,0.0009902369291268731,0.050877499727280874,0.009774580658443619,537.6666666666666
251,3,50,30,1.0,1.0,0.7756691434403765,0.0,0.050883235800345615,0.009145922818024392,84.0
461,5,5,30,0.6,1.0,0.7756575020790542,0.0038550916629064404,0.050882671151426535,0.008608501060927032,92.33333333333333
89,2,50,5,1.0,1.0,0.7756433051868544,0.0,0.050886166061727106,0.011238936488527423,640.0
281,3,100,30,0.6,1.0,0.7754611361313098,0.0026007484529480193,0.05090596627829961,0.009711309240776964,173.0
263,3,100,5,0.6,1.0,0.7753901423698331,0.0018230030222439685,0.050914448263484464,0.009496100078638407,147.33333333333334
