family,ece_input,policy,seed,r2,rmse,ubrmse,bias,mae,pearson
Clustering_Backbone54_k2,native,c0_only,13,-1.177221504013783,0.06942262347752295,0.04702126596767562,0.05107348820375432,0.06303352875583033,0.14336262556942778
Clustering_Backbone54_k2,native,c1_only,13,-13.768657496521543,0.18080907460796797,0.04907405601408317,0.17402200575477905,0.17402200575477905,-0.13738061099000196
Clustering_Backbone54_k2,native,gapi_transplant,13,-1.177221504013783,0.06942262347752295,0.04702126596767562,0.05107348820375432,0.06303352875583033,0.14336262556942778
Clustering_Backbone54_k2,native,dynamic_transplant,13,-1.177221504013783,0.06942262347752295,0.04702126596767562,0.05107348820375432,0.06303352875583033,0.14336262556942778
Clustering_Backbone54_k2,native,seasonal,13,-1.177221504013783,0.06942262347752295,0.04702126596767562,0.05107348820375432,0.06303352875583033,0.14336262556942778
Clustering_Backbone54_k2,native,margin_fallback,13,-0.5260386054367432,0.05812091921414826,0.051338872051873576,0.027246311066617856,0.0516218443271443,0.03537516521947765
Clustering_V0_Full_k2,zero,as_routed,101,-5.3768570703019005,0.11881001631164748,0.09580414014193225,0.070266540455888,0.09423320141493242,-0.49153022451626044
Clustering_V0_Full_k2,zero,c0_only,101,-0.1762281331300093,0.05102646652506317,0.04771038041206062,0.018094747496714483,0.04397796733451939,0.11942337455057252
Clustering_V0_Full_k2,zero,c1_only,101,-10.162652080126815,0.15719307455520465,0.04709311676719759,0.1499730010410848,0.1499730010410848,0.13445598665951458
Clustering_V0_Full_k2,zero,gapi_transplant,101,-0.1762281331300093,0.05102646652506317,0.04771038041206062,0.018094747496714483,0.04397796733451939,0.11942337455057252
Clustering_V0_Full_k2,zero,dynamic_transplant,101,-0.1762281331300093,0.05102646652506317,0.04771038041206062,0.018094747496714483,0.04397796733451939,0.11942337455057252
Clustering_V0_Full_k2,zero,seasonal,101,-0.1762281331300093,0.05102646652506317,0.04771038041206062,0.018094747496714483,0.04397796733451939,0.11942337455057252
Clustering_V0_Full_k2,zero,margin_fallback,101,-0.37886587547813977,0.055247257703317836,0.05285835322781999,0.016070282442440877,0.04695072433123011,0.05387876272503213
Clustering_Backbone54_k2,zero,as_routed,101,-8.80313632867603,0.147310001923628,0.07139617911963328,0.12885193934844957,0.13640110153443052,-0.20564806224865395
Clustering_Backbone54_k2,zero,c0_only,101,-0.1762281331300093,0.05102646652506317,0.04771038041206062,0.018094747496714483,0.04397796733451939,0.11942337455057252
