n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,val_R2,val_RMSE,val_MAE,val_bias
200,15.0,5,2,0.5,0.7804929129685901,0.05033319365774591,0.038874833264867056,0.009915893049054023
200,,5,1,0.5,0.7804471766086489,0.05033843708107212,0.03876054949363202,0.009966628526903706
300,20.0,5,1,sqrt,0.780437500954156,0.050339546271906864,0.03978788555619822,0.010152807725489845
300,15.0,10,2,sqrt,0.7804039636888003,0.05034339070405064,0.03965650146478521,0.00994687513745082
200,20.0,10,2,sqrt,0.7803949152677975,0.050344427889213575,0.03980715442348808,0.01037706380424343
200,15.0,10,2,sqrt,0.7803924011994953,0.05034471606325167,0.039702305337675575,0.009957854921902784
100,,2,2,0.5,0.7803806767190177,0.05034605995518835,0.03894141235470483,0.010793780407931601
200,,2,2,sqrt,0.7803626951135657,0.05034812098616392,0.03945351946928784,0.009895944528793197
500,25.0,2,2,0.5,0.7803557164552373,0.05034892084924514,0.03886949424422587,0.010170561923456797
100,,2,1,sqrt,0.7803546415068732,0.05034904405396281,0.03968966549295775,0.010260369718309858
500,20.0,2,2,sqrt,0.7803385828677888,0.050350884571682866,0.039622020865636425,0.01021360477263757
500,20.0,10,2,sqrt,0.7803184515965365,0.05035319176815249,0.03982713440985749,0.010134124919127954
200,20.0,2,1,0.5,0.780280741917861,0.050357513299062545,0.03893020450988692,0.010093178251044823
500,15.0,2,4,sqrt,0.7802753707063533,0.0503581288099747,0.03973960180990753,0.010067703686776636
500,15.0,5,4,sqrt,0.7802753707063533,0.0503581288099747,0.03973960180990753,0.01006770368677664
200,15.0,2,2,0.5,0.7802511820445988,0.05036090060261861,0.03868749697416788,0.0101838537934793
200,20.0,10,2,0.5,0.7802472074206407,0.050361356042467734,0.038820409419596844,0.009656030710812637
300,20.0,2,2,sqrt,0.7801834291300647,0.050368663636027225,0.039571556983996746,0.010145597816724321
500,15.0,10,4,sqrt,0.7801792822594744,0.05036913873975572,0.03970768578650638,0.010007762447968397
300,,5,2,0.5,0.7801662373610816,0.050370633254367435,0.03871794131580716,0.00986376448952687
300,25.0,10,2,0.5,0.780138607616158,0.050373798564383454,0.03890372767472811,0.010085293627848338
500,,2,1,0.5,0.7800981135921697,0.05037843726850008,0.03879619542253522,0.010113963028169054
300,25.0,10,4,sqrt,0.7800686391166294,0.05038181338384028,0.03984804402155961,0.010490231338384833
300,25.0,2,2,sqrt,0.7800472472637404,0.05038426354403972,0.03962930745661737,0.010219491395369523
200,25.0,10,1,sqrt,0.7800212996460678,0.05038723534829408,0.03970978981613337,0.010119312615746645
200,20.0,2,2,0.5,0.7800156474699871,0.0503878826739137,0.038872235020148034,0.010368534998641534
500,,10,2,sqrt,0.7799726361264702,0.05039280835290176,0.03983841062558238,0.01028690807996543
300,20.0,5,2,sqrt,0.7799681464467507,0.05039332248535225,0.03971068437279267,0.010428485331068051
200,20.0,2,2,sqrt,0.7799529445006279,0.05039506328635322,0.03957355842228015,0.009981239897765063
300,25.0,2,1,sqrt,0.7799089218816473,0.05040010405301151,0.039697401961094995,0.010063668827014684
200,25.0,10,4,sqrt,0.7799068943709437,0.050400336198984805,0.03982016073233375,0.010420379298386481
200,20.0,2,1,sqrt,0.7798990446359342,0.05040123496806462,0.03965496427527089,0.010246881078034321
500,20.0,2,1,sqrt,0.7798749460595362,0.05040399407641342,0.03969244007897152,0.010096819049843853
500,20.0,10,4,sqrt,0.7798702741043864,0.05040452896316531,0.03970874523981116,0.01018022706167604
200,25.0,5,1,sqrt,0.7798507482971195,0.05040676438886746,0.039728308239543125,0.010657550451019569
500,,2,2,0.5,0.7798227043812059,0.05040997484276554,0.038916013205068926,0.010233221401847374
500,15.0,2,2,0.5,0.7798162458221776,0.05041071418650599,0.03888328553957334,0.010129907925010204
500,,2,2,sqrt,0.7798025330892784,0.050412283916068924,0.03970938181045965,0.010296448597665363
200,,2,1,0.5,0.7797966570355747,0.05041295654712954,0.03881960387323944,0.009804084507042251
500,15.0,5,2,sqrt,0.779791048320389,0.050413598567615445,0.039687753703424714,0.010050764413449306
200,25.0,2,4,sqrt,0.7797786666740005,0.05041501584555051,0.03979043255902972,0.010005071866265577
200,25.0,5,4,sqrt,0.7797786666740005,0.05041501584555051,0.03979043255902972,0.010005071866265576
500,25.0,2,2,sqrt,0.7797219316273576,0.05042150957173327,0.03967992270564409,0.010295695298523849
100,15.0,10,1,0.5,0.7797153393368124,0.05042226405164229,0.0391343496604928,0.01057947430793576
300,25.0,10,1,0.5,0.779636184036011,0.05043132240139319,0.03896696540774055,0.010200407718794935
100,20.0,2,1,sqrt,0.7796265901115661,0.05043242019739166,0.03954433534110978,0.010300908953777006
500,15.0,2,1,sqrt,0.7796141301409405,0.05043384590839854,0.039821044823265796,0.010361153114760387
