,Global Single Model (54 Backbone),"Clustering_V0_Full_k2 (Winner c0=0, c1=10)",Global Single Model (54 Backbone + 160 CTX),"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)",Global Single Model (54 Backbone + 80 CTX-head),"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 80 CTX-head)"
ctx_59,0.0,0.0,0.00014051278,0.00011763473,0.0,0.0
ctx_6,0.0,0.0,0.00012529067,0.00015422188,0.0,0.0
ctx_60,0.0,0.0,0.0004236985,0.0006515535,0.0,0.0
ctx_61,0.0,0.0,9.9415156e-05,0.00023614797,0.0,0.0
ctx_62,0.0,0.0,9.190412e-05,0.00011310422,0.0,0.0
ctx_63,0.0,0.0,0.00031511098,0.00030431084,0.0,0.0
ctx_64,0.0,0.0,0.00017028685,0.00011857233,0.0,0.0
ctx_65,0.0,0.0,0.00050024345,0.00036771214,0.0,0.0
ctx_66,0.0,0.0,8.333995e-05,8.004585e-05,0.0,0.0
ctx_67,0.0,0.0,0.00030559205,0.0002702064,0.0,0.0
ctx_68,0.0,0.0,7.459077e-05,0.00012016024,0.0,0.0
ctx_69,0.0,0.0,0.00017230041,0.00047977944,0.0,0.0
ctx_7,0.0,0.0,0.00021572664,0.00016099944,0.0,0.0
ctx_70,0.0,0.0,0.0015092188,0.0006094015,0.0,0.0
ctx_71,0.0,0.0,0.0002866762,0.00052276085,0.0,0.0
ctx_72,0.0,0.0,0.00059072656,0.00051844056,0.0,0.0
ctx_73,0.0,0.0,0.0014971823,0.0013413624,0.0,0.0
ctx_74,0.0,0.0,0.00017739038,0.00016371309,0.0,0.0
ctx_75,0.0,0.0,0.00012882026,9.754008e-05,0.0,0.0
ctx_76,0.0,0.0,5.5275683e-05,0.000118662836,0.0,0.0
ctx_77,0.0,0.0,0.0002927574,0.0002901231,0.0,0.0
ctx_78,0.0,0.0,0.00042993523,0.0004532868,0.0,0.0
ctx_79,0.0,0.0,0.00011654675,0.00014603294,0.0,0.0
ctx_8,0.0,0.0,0.00012290913,0.0001136408,0.0,0.0
ctx_80,0.0,0.0,0.00012091075,0.00015288142,0.0,0.0
ctx_81,0.0,0.0,0.00011835997,0.00012204431,0.0,0.0
ctx_82,0.0,0.0,0.0001516624,0.00012504139,0.0,0.0
ctx_83,0.0,0.0,0.006508182,0.0012674091,0.0,0.0
ctx_84,0.0,0.0,0.00010837153,0.000121513775,0.0,0.0
ctx_85,0.0,0.0,0.0008182646,0.0038945551,0.0,0.0
ctx_86,0.0,0.0,4.765435e-05,0.0002555883,0.0,0.0
ctx_87,0.0,0.0,0.00015557252,0.00010730073,0.0,0.0
ctx_88,0.0,0.0,0.00019312162,6.814325e-05,0.0,0.0
ctx_89,0.0,0.0,0.00012805717,8.573987e-05,0.0,0.0
ctx_9,0.0,0.0,0.00086801563,0.0002266223,0.0,0.0
ctx_90,0.0,0.0,0.00010262641,0.0001572146,0.0,0.0
ctx_91,0.0,0.0,0.0003336189,0.0002591417,0.0,0.0
