n_features,candidate_mean_nrmse,candidate_ucb,fold_id,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
65,0.4947547224222744,0.5108983462082557,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.03161129154888727,0.4146390432081669
65,0.4947547224222744,0.5108983462082557,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.028129407418999545,0.3689678594811241
65,0.4947547224222744,0.5108983462082557,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.05847063320932938,0.5302264830675342
65,0.4947547224222744,0.5108983462082557,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.056358660428795365,0.5110745799959896
65,0.4947547224222744,0.5108983462082557,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.05327294258184693,0.5551683613843111
65,0.4947547224222744,0.5108983462082557,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.054693883136764355,0.569976277021523
65,0.4947547224222744,0.5108983462082557,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.03752015930041747,0.47911041625779266
65,0.4947547224222744,0.5108983462082557,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.04013305901862474,0.5124756123276352
65,0.4947547224222744,0.5108983462082557,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.06238877170220003,0.5084489132053684
65,0.4947547224222744,0.5108983462082557,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.06322934040317803,0.5152992843671338
50,0.49849141909254474,0.5163497166925191,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.053348021399264874,0.4861574883566699
50,0.49849141909254474,0.5163497166925191,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.05379652760773012,0.4902446999551649
50,0.49849141909254474,0.5163497166925191,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.030906735213710606,0.40539751746246583
50,0.49849141909254474,0.5163497166925191,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.027145131411087625,0.3560573062523137
50,0.49849141909254474,0.5163497166925191,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.059317468390973994,0.53790579857099
50,0.49849141909254474,0.5163497166925191,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.05906684340161409,0.5356330678105518
50,0.49849141909254474,0.5163497166925191,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.0541544750576983,0.5643549937798008
50,0.49849141909254474,0.5163497166925191,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.05448159636387295,0.5677639926208891
50,0.49849141909254474,0.5163497166925191,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.03878719268526468,0.49528968904728515
50,0.49849141909254474,0.5163497166925191,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.040758873053299775,0.5204668903030938
50,0.49849141909254474,0.5163497166925191,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.06225280883463839,0.5073408584967748
50,0.49849141909254474,0.5163497166925191,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.06322755408746014,0.5152847264545379
40,0.5026321167610912,0.5204157160685818,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.053640799977618864,0.48882556290871265
40,0.5026321167610912,0.5204157160685818,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.05356628848423756,0.4881465439024622
40,0.5026321167610912,0.5204157160685818,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.03148857879864464,0.4130294443953073
40,0.5026321167610912,0.5204157160685818,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.02754526709755008,0.36130580671081763
40,0.5026321167610912,0.5204157160685818,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.05946728333406795,0.5392643583475412
40,0.5026321167610912,0.5204157160685818,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.05931699757318041,0.537901529076217
40,0.5026321167610912,0.5204157160685818,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.05452053174356614,0.5681697462717398
40,0.5026321167610912,0.5204157160685818,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.05519393102186266,0.5751873795349087
40,0.5026321167610912,0.5204157160685818,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.039735420685661035,0.5073980041623581
40,0.5026321167610912,0.5204157160685818,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.041924564226006836,0.5353520825143513
40,0.5026321167610912,0.5204157160685818,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.06187405875850152,0.504254164219358
40,0.5026321167610912,0.5204157160685818,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.06291662832959531,0.5127507790893208
