id,group,Configuration,year,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson
24,A,A MSE d=9 LR=0.008 MCW=5 Est=2000,2025,0.6493927389465816,0.06201500274323838,0.061174175893958134,-0.010177463777333471,0.0451425424507611,0.03095026004314423,0.8145520330752657
25,A,A MSE d=9 LR=0.008 MCW=8 Est=2000,2023,0.6567886716782398,0.06303377053887126,0.055504951359232106,-0.029874012167038333,0.04921009461640365,0.04101789808273315,0.8578499967323492
25,A,A MSE d=9 LR=0.008 MCW=8 Est=2000,2024,0.6346221715440818,0.06032774650420051,0.05677135399327546,-0.020407115432146378,0.04435828012900875,0.0337586237192154,0.831359035344418
25,A,A MSE d=9 LR=0.008 MCW=8 Est=2000,2025,0.6510945055749938,0.06186431642509472,0.0611081024909385,-0.009643311500787923,0.04513074556596762,0.0313741832971573,0.8153239704955241
26,A,A MSE d=9 LR=0.008 MCW=10 Est=2000,2023,0.6574774928421346,0.06297048474547418,0.055350427236522164,-0.030026857208416233,0.04908234483258259,0.04073702311515809,0.8587030229678823
26,A,A MSE d=9 LR=0.008 MCW=10 Est=2000,2024,0.6342864283553222,0.06035545751672128,0.056634373485507025,-0.020864539267481576,0.044348356210598364,0.03386098897457124,0.8323836064087222
26,A,A MSE d=9 LR=0.008 MCW=10 Est=2000,2025,0.6504163274844519,0.061924411002473805,0.06111592123562483,-0.009973808175640355,0.045057389501741735,0.031118657708168032,0.8155671941926294
27,A,A MSE d=9 LR=0.008 MCW=15 Est=2000,2023,0.6634636964025423,0.06241779744313401,0.05497626528117778,-0.029556584602854475,0.04865183276325455,0.040685606956481934,0.8609231479826239
27,A,A MSE d=9 LR=0.008 MCW=15 Est=2000,2024,0.6329042609697066,0.06046940280057175,0.056794630658753606,-0.02075857910928461,0.04440259806702684,0.03359484338760377,0.8318439072648157
27,A,A MSE d=9 LR=0.008 MCW=15 Est=2000,2025,0.6470637213388757,0.06222063876501474,0.06152049848497883,-0.009307854451280862,0.04525989744611222,0.031074180305004112,0.813537524604473
28,A,A MSE d=7 LR=0.01 MCW=5 Est=1500,2023,0.6415710399240175,0.06441604038404551,0.05612113763277733,-0.03162031261012217,0.05004328863410496,0.041113705635070774,0.8555320480474383
28,A,A MSE d=7 LR=0.01 MCW=5 Est=1500,2024,0.6311930532941858,0.060610177247262184,0.057245543777729294,-0.019913344879328807,0.044657170777470306,0.03414271187782286,0.8308168990417311
28,A,A MSE d=7 LR=0.01 MCW=5 Est=1500,2025,0.6333319184929811,0.06341950782829313,0.0626407876096378,-0.009907860557516636,0.04668072139069116,0.032190261363983175,0.807147486375679
29,A,A MSE d=7 LR=0.01 MCW=8 Est=1500,2023,0.6388694810393816,0.06465834368770593,0.05653520795730667,-0.03137629152180983,0.050283508422682484,0.041894833326339725,0.8535855055209136
29,A,A MSE d=7 LR=0.01 MCW=8 Est=1500,2024,0.6354708489537458,0.06025764296125805,0.05692108505389944,-0.019773052793609705,0.044388972035356335,0.03372631323337555,0.832789042781176
29,A,A MSE d=7 LR=0.01 MCW=8 Est=1500,2025,0.6311059852952052,0.0636117170717287,0.06294400925240011,-0.009192510432272169,0.04689018273456178,0.032382922410964965,0.805373085065194
30,A,A MSE d=7 LR=0.01 MCW=10 Est=1500,2023,0.6428738889564515,0.06429886126616384,0.056364081145903557,-0.03094242906921478,0.04998620079541882,0.04054179036617278,0.8543695028341101
30,A,A MSE d=7 LR=0.01 MCW=10 Est=1500,2024,0.6367069175480362,0.06015539348798675,0.05694480385230949,-0.01938970545640494,0.04431564394936686,0.03356209790706635,0.8330691058681007
30,A,A MSE d=7 LR=0.01 MCW=10 Est=1500,2025,0.6303964585244739,0.06367286272952795,0.06303205734696421,-0.009010726651184265,0.046868105980827864,0.0319869134426117,0.8049048786846665
31,A,A MSE d=7 LR=0.01 MCW=15 Est=1500,2023,0.6416282989760438,0.06441089494501032,0.05625275332187892,-0.03137500806892649,0.050163254887493125,0.04104725283384322,0.85477283242923
31,A,A MSE d=7 LR=0.01 MCW=15 Est=1500,2024,0.6328611126855379,0.06047295647068151,0.057213742540431316,-0.019584844403862385,0.044599774741062845,0.03410004043579101,0.8315074377395101
31,A,A MSE d=7 LR=0.01 MCW=15 Est=1500,2025,0.6343567943981641,0.06333081370571905,0.06264887955228772,-0.009268756953953168,0.04657101856156575,0.03163320660591125,0.8072580376905291
32,A,A MSE d=8 LR=0.01 MCW=5 Est=1500,2023,0.6557458057127383,0.06312946364230067,0.05519963236406071,-0.030632168820328487,0.049127526181697995,0.0404956146478653,0.8598434267972899
32,A,A MSE d=8 LR=0.01 MCW=5 Est=1500,2024,0.6341310585070244,0.06036827686940685,0.05672126710951738,-0.020664624512157465,0.04435310651493942,0.03395420503616334,0.8321446972951354
32,A,A MSE d=8 LR=0.01 MCW=5 Est=1500,2025,0.6375660224051571,0.06305227584598166,0.062353650099191485,-0.009360117983517404,0.04615796678535359,0.03167241734266281,0.8079384872225239
33,A,A MSE d=8 LR=0.01 MCW=8 Est=1500,2023,0.6571595929160834,0.06299969986179658,0.055185878397966806,-0.030388830318424008,0.0491082814123378,0.04053503203392028,0.859875138428983
33,A,A MSE d=8 LR=0.01 MCW=8 Est=1500,2024,0.637130381925232,0.06012032387752678,0.056627491460831236,-0.020193576976880886,0.044284348518752355,0.03398855221271515,0.8334511213361895
33,A,A MSE d=8 LR=0.01 MCW=8 Est=1500,2025,0.6388055129404702,0.0629443670443502,0.06220249836287273,-0.009635483383344972,0.046163848759819735,0.03194067490100862,0.8094473171438412
