split,station_id,date,input_abs_mean,projected_norm_mean,recurrent_norm_mean,final_hidden_norm,embedding_norm,embedding_ood_score,y_true,y_pred
train,Spokane,2019-10-04,0.7302810549736023,6.861612796783447,1.9492523670196533,2.1163582801818848,7.921881675720215,1.2900789976119995,0.1509999930858612,0.16399133205413818
train,Spokane,2019-10-05,0.7198566794395447,6.858914375305176,1.9302177429199219,2.102045774459839,7.921659469604492,1.2983386516571045,0.14800000190734863,0.16441887617111206
train,Spokane,2019-10-06,0.7063935995101929,6.8573317527771,1.914563536643982,2.11256742477417,7.921696662902832,1.2956160306930542,0.14399999380111694,0.16728821396827698
train,Spokane,2019-10-07,0.6938865184783936,6.858435153961182,1.9013795852661133,2.1186366081237793,7.921930313110352,1.2574353218078613,0.1420000046491623,0.16958536207675934
train,Spokane,2019-10-08,0.6808862090110779,6.858452796936035,1.8898117542266846,2.1279489994049072,7.921390533447266,1.2946295738220215,0.13899999856948853,0.15871672332286835
train,Spokane,2019-10-09,0.6733641624450684,6.857272148132324,1.881565809249878,2.1223394870758057,7.921778202056885,1.2879483699798584,0.164000004529953,0.17180506885051727
train,Spokane,2019-10-10,0.6632837057113647,6.854381561279297,1.8691707849502563,2.1277244091033936,7.92309045791626,1.2712037563323975,0.16599999368190765,0.19522002339363098
train,Spokane,2019-10-11,0.6580954194068909,6.853781223297119,1.8666185140609741,2.1290645599365234,7.92379093170166,1.2477556467056274,0.1599999964237213,0.20461663603782654
train,Spokane,2019-10-12,0.6524816155433655,6.854400634765625,1.865958571434021,2.1362085342407227,7.924111366271973,1.232441782951355,0.15600000321865082,0.20968720316886902
train,Spokane,2019-10-13,0.647101879119873,6.856389045715332,1.8691651821136475,2.1446759700775146,7.9240593910217285,1.2230889797210693,0.15399999916553497,0.21026766300201416
train,Spokane,2019-10-14,0.6441819667816162,6.859536647796631,1.8762212991714478,2.1314785480499268,7.922834396362305,1.2135577201843262,0.1509999930858612,0.2037607729434967
train,Spokane,2019-10-15,0.6389517784118652,6.862145900726318,1.8817975521087646,2.1162242889404297,7.92358922958374,1.208818793296814,0.1469999998807907,0.19946971535682678
train,Spokane,2019-10-16,0.6358016729354858,6.86367130279541,1.8815433979034424,2.103858232498169,7.924018859863281,1.206300973892212,0.1459999978542328,0.19677412509918213
train,Spokane,2019-10-17,0.6298746466636658,6.861880302429199,1.8769409656524658,2.1157419681549072,7.925678253173828,1.1388899087905884,0.14399999380111694,0.22161170840263367
train,Spokane,2019-10-18,0.6244977116584778,6.86127233505249,1.8765532970428467,2.135892152786255,7.926302909851074,1.0804179906845093,0.14800000190734863,0.22988733649253845
train,Spokane,2019-10-19,0.6174764037132263,6.861699104309082,1.8816025257110596,2.153242588043213,7.926332950592041,1.0596133470535278,0.19300000369548798,0.23994773626327515
train,Spokane,2019-10-20,0.6109882593154907,6.863456726074219,1.8867120742797852,2.1728296279907227,7.925770282745361,1.0411827564239502,0.19599999487400055,0.2520606517791748
train,Spokane,2019-10-21,0.6054592132568359,6.8656744956970215,1.8917598724365234,2.1743690967559814,7.9241108894348145,1.0567771196365356,0.19499999284744263,0.2618323266506195
train,Spokane,2019-10-22,0.5995201468467712,6.8653764724731445,1.887267827987671,2.0831198692321777,7.92275333404541,0.983497679233551,0.2070000022649765,0.2760653495788574
train,Spokane,2019-10-23,0.5916431546211243,6.8643903732299805,1.8808666467666626,2.0701122283935547,7.921977519989014,0.9663980007171631,0.19300000369548798,0.2717839181423187
train,Spokane,2019-10-25,0.5794472098350525,6.8620405197143555,1.8778200149536133,2.087360143661499,7.921151638031006,0.9648754596710205,0.18199999630451202,0.2570362389087677
train,Spokane,2019-10-26,0.5724584460258484,6.859458923339844,1.875659704208374,2.100368022918701,7.920689582824707,0.9755000472068787,0.18400000035762787,0.25410887598991394
train,Spokane,2019-10-27,0.5658593773841858,6.856936454772949,1.8779417276382446,2.1170170307159424,7.9204792976379395,0.9769082069396973,0.18000000715255737,0.25099214911460876
train,Spokane,2019-10-28,0.5614475011825562,6.855847358703613,1.8763084411621094,2.1245193481445312,7.9206061363220215,0.9767016768455505,0.17900000512599945,0.24062588810920715
train,Spokane,2019-10-29,0.5634911060333252,6.853417873382568,1.8605012893676758,1.9971909523010254,7.920353889465332,0.9514128565788269,0.17000000178813934,0.23722803592681885
train,Spokane,2019-10-30,0.5702530145645142,6.850222110748291,1.8372691869735718,1.9439802169799805,7.919479846954346,0.9267039895057678,0.16300000250339508,0.23027774691581726
train,Spokane,2019-10-31,0.5808375477790833,6.846105098724365,1.8101608753204346,1.9261527061462402,7.918430328369141,0.9022239446640015,0.16500000655651093,0.22129204869270325
train,Spokane,2019-11-04,0.5913510918617249,6.841586112976074,1.7874135971069336,1.9255117177963257,7.917609214782715,0.8979045748710632,0.16599999368190765,0.21374747157096863
train,Spokane,2019-11-05,0.6046763062477112,6.84005880355835,1.772922158241272,1.9330326318740845,7.916470527648926,0.9130629301071167,0.16500000655651093,0.1853344738483429
