artifact_arm,dataset,model,beta,year,R2,RMSE,MAE,Bias
original,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.2,2024,0.580784597760333,0.0643927494726367,0.045709305947576,-0.0238945273767854
original,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.2,2025,0.5958407494131385,0.0667088065408555,0.048722957493989,-0.0088003498694381
original,derived_8.3,2.0_global,0.0,2023,0.5834669050276335,0.067944333216906,0.0497268056511257,-0.0302544454760082
original,derived_8.3,2.0_global,0.0,2024,0.5673603659203845,0.0654156265241458,0.0462383582966956,-0.0248624654320446
original,derived_8.3,2.0_global,0.0,2025,0.6060682532411594,0.0658593439228299,0.047667911638254,-0.0091911762194909
original,derived_8.3,2.0_global,0.2,2023,0.5953195307371689,0.0669706642928391,0.0490943707748178,-0.0295289276737472
original,derived_8.3,2.0_global,0.2,2024,0.5681465295582384,0.0653561650616312,0.0461096254459506,-0.0242286510548881
original,derived_8.3,2.0_global,0.2,2025,0.6139771312430538,0.0651948703643493,0.0474410065982138,-0.0094565564361023
original,derived_8.3,V0,0.0,2023,0.6260062780857707,0.0643814331966845,0.046921422234298,-0.0245579268840643
original,derived_8.3,V0,0.0,2024,0.6079175836742432,0.0622740393749141,0.0440767768283752,-0.0157576006922568
original,derived_8.3,V0,0.0,2025,0.6951405670774546,0.0579370966332778,0.0447010824851993,-0.0010541507361104
original,derived_8.3,V0,0.2,2023,0.6051671974247582,0.066150799523098,0.0479101040822586,-0.0250750296608565
original,derived_8.3,V0,0.2,2024,0.6015191963713948,0.0627801076753742,0.0448339841073227,-0.0162490027236576
original,derived_8.3,V0,0.2,2025,0.6950351905525916,0.057947108923796,0.0438167000345231,-0.000438085928081
